amount,merge(cpu),quick,merge(gpu),bitonic(gpu)
 1,  0.001900,  0.000400,  0.440111,  0.404300
 2,  0.001700,  0.000900,  0.439556,  0.393800
 4,  0.001500,  0.001000,  0.426333,  0.386100
 8,  0.001800,  0.001100,  0.412556,  0.371800
 16,  0.002200,  0.001100,  0.400222,  0.382800
 32,  0.003900,  0.002500,  0.392333,  0.352000
 64,  0.008500,  0.004600,  0.388000,  0.349900
 128,  0.024800,  0.008800,  0.393000,  0.352300
 256,  0.083200,  0.017800,  0.393889,  0.354100
 512,  0.302800,  0.039000,  0.421667,  0.353900
 1024,  1.139900,  0.086000,  0.394000,  0.351800
 2048,  2.462900,  0.184000,  0.453444,  0.380600
 4096,  5.302000,  0.399900,  0.486000,  0.408900
 8192,  11.354501,  0.862100,  0.548889,  0.442100
 16384,  24.239601,  1.855900,  0.576222,  0.566300
 32768,  48.463799,  3.716700,  0.548778,  0.390100
 65536,  100.447502,  7.816199,  0.764778,  0.683600
